phase,iter,step,train_total,train_pde,train_high_bc,test_total,test_pde,test_high_bc,block_loss_before,block_loss_after,block_delta_weights,block_finite,block_num_steps
adam,254,254,0.03665522550350875,,,nan,,,,,,,
adam,255,255,0.036632942321329125,,,nan,,,,,,,
adam,256,256,0.036610728455968064,,,nan,,,,,,,
adam,257,257,0.036588569393585346,,,nan,,,,,,,
adam,258,258,0.03656645131066193,,,nan,,,,,,,
adam,259,259,0.03654436104620397,,,nan,,,,,,,
adam,260,260,0.03652228607098259,,,nan,,,,,,,
adam,261,261,0.03650021445444705,,,nan,,,,,,,
adam,262,262,0.0364781348324225,,,nan,,,,,,,
adam,263,263,0.03645603637693569,,,nan,,,,,,,
adam,264,264,0.036433908766906116,,,nan,,,,,,,
adam,265,265,0.03641174215891274,,,nan,,,,,,,
adam,266,266,0.03638952715936031,,,nan,,,,,,,
adam,267,267,0.03636725479941269,,,nan,,,,,,,
adam,268,268,0.03634491651204266,,,nan,,,,,,,
adam,269,269,0.03632250410966464,,,nan,,,,,,,
adam,270,270,0.03630000976218026,,,nan,,,,,,,
adam,271,271,0.036277425976539546,,,nan,,,,,,,
adam,272,272,0.03625474557832296,,,nan,,,,,,,
adam,273,273,0.036231961694663736,,,nan,,,,,,,
adam,274,274,0.03620906773791337,,,nan,,,,,,,
adam,275,275,0.03618605739033094,,,nan,,,,,,,
adam,276,276,0.036162924590114706,,,nan,,,,,,,
adam,277,277,0.036139663518249945,,,nan,,,,,,,
adam,278,278,0.036116268585340075,,,nan,,,,,,,
adam,279,279,0.036092734418288,,,nan,,,,,,,
adam,280,280,0.036069055847329556,,,nan,,,,,,,
adam,281,281,0.036045227893701126,,,nan,,,,,,,
adam,282,282,0.03602124575774918,,,nan,,,,,,,
adam,283,283,0.03599710480734754,,,nan,,,,,,,
adam,284,284,0.03597280056682176,,,nan,,,,,,,
adam,285,285,0.035948328706507694,,,nan,,,,,,,
adam,286,286,0.035923685032690195,,,nan,,,,,,,
adam,287,287,0.03589886547761118,,,nan,,,,,,,
adam,288,288,0.03587386608960513,,,nan,,,,,,,
adam,289,289,0.03584868302367646,,,nan,,,,,,,
adam,290,290,0.03582331253269792,,,nan,,,,,,,
adam,291,291,0.03579775095920387,,,nan,,,,,,,
adam,292,292,0.035771994727773655,,,nan,,,,,,,
adam,293,293,0.03574604033807485,,,nan,,,,,,,
adam,294,294,0.03571988435852111,,,nan,,,,,,,
adam,295,295,0.03569352342033251,,,nan,,,,,,,
adam,296,296,0.03566695421183247,,,nan,,,,,,,
adam,297,297,0.035640173473018635,,,nan,,,,,,,
adam,298,298,0.03561317799054246,,,nan,,,,,,,
adam,299,299,0.03558596459315615,,,nan,,,,,,,
adam,300,300,0.035558530147609624,,,0.04429348863428199,,,,,,,
adam,301,301,0.035530871554986646,,,nan,,,,,,,
adam,302,302,0.0355029857474565,,,nan,,,,,,,
adam,303,303,0.03547486968533775,,,nan,,,,,,,
adam,304,304,0.03544652035432862,,,nan,,,,,,,
adam,305,305,0.03541793476283994,,,nan,,,,,,,
adam,306,306,0.03538910993948129,,,nan,,,,,,,
adam,307,307,0.03536004293078424,,,nan,,,,,,,
adam,308,308,0.035330730799207635,,,nan,,,,,,,
adam,309,309,0.035301170621436964,,,nan,,,,,,,
adam,310,310,0.035271359486974053,,,nan,,,,,,,
adam,311,311,0.03524129449697569,,,nan,,,,,,,
adam,312,312,0.03521097276325783,,,nan,,,,,,,
adam,313,313,0.03518039140739618,,,nan,,,,,,,
adam,314,314,0.03514954755992153,,,nan,,,,,,,
adam,315,315,0.03511843835966387,,,nan,,,,,,,
adam,316,316,0.035087060953302544,,,nan,,,,,,,
adam,317,317,0.03505541249515369,,,nan,,,,,,,
adam,318,318,0.03502349014720054,,,nan,,,,,,,
adam,319,319,0.03499129107934408,,,nan,,,,,,,
adam,320,320,0.034958812469821327,,,nan,,,,,,,
adam,321,321,0.03492605150573208,,,nan,,,,,,,
adam,322,322,0.034893005383647736,,,nan,,,,,,,
adam,323,323,0.03485967131032214,,,nan,,,,,,,
adam,324,324,0.03482604650354794,,,nan,,,,,,,
adam,325,325,0.03479212819319449,,,nan,,,,,,,
adam,326,326,0.03475791362244355,,,nan,,,,,,,
adam,327,327,0.03472340004921506,,,nan,,,,,,,
adam,328,328,0.03468858474775266,,,nan,,,,,,,
adam,329,329,0.03465346501032845,,,nan,,,,,,,
adam,330,330,0.03461803814904102,,,nan,,,,,,,
adam,331,331,0.03458230149771308,,,nan,,,,,,,
adam,332,332,0.03454625241391997,,,nan,,,,,,,
adam,333,333,0.03450988828118577,,,nan,,,,,,,
adam,334,334,0.03447320651137133,,,nan,,,,,,,
adam,335,335,0.03443620454725963,,,nan,,,,,,,
adam,336,336,0.034398879865324535,,,nan,,,,,,,
adam,337,337,0.03436122997865841,,,nan,,,,,,,
adam,338,338,0.03432325244003874,,,nan,,,,,,,
adam,339,339,0.034284944845134155,,,nan,,,,,,,
adam,340,340,0.03424630483587088,,,nan,,,,,,,
adam,341,341,0.034207330103989055,,,nan,,,,,,,
adam,342,342,0.03416801839481294,,,nan,,,,,,,
adam,343,343,0.034128367511244505,,,nan,,,,,,,
adam,344,344,0.034088375317973776,,,nan,,,,,,,
adam,345,345,0.03404803974588905,,,nan,,,,,,,
adam,346,346,0.03400735879667008,,,nan,,,,,,,
adam,347,347,0.03396633054756012,,,nan,,,,,,,
adam,348,348,0.0339249531563266,,,nan,,,,,,,
adam,349,349,0.03388322486642992,,,nan,,,,,,,
adam,350,350,0.03384114401241657,,,nan,,,,,,,
adam,351,351,0.03379870902554315,,,nan,,,,,,,
adam,352,352,0.03375591843962453,,,nan,,,,,,,
adam,353,353,0.03371277089709012,,,nan,,,,,,,
adam,354,354,0.03366926515523045,,,nan,,,,,,,
adam,355,355,0.03362540009262312,,,nan,,,,,,,
adam,356,356,0.03358117471573748,,,nan,,,,,,,
adam,357,357,0.03353658816572409,,,nan,,,,,,,
adam,358,358,0.033491639725393915,,,nan,,,,,,,
adam,359,359,0.033446328826385006,,,nan,,,,,,,
adam,360,360,0.03340065505650382,,,nan,,,,,,,
adam,361,361,0.03335461816722052,,,nan,,,,,,,
adam,362,362,0.033308218081294895,,,nan,,,,,,,
adam,363,363,0.03326145490051352,,,nan,,,,,,,
adam,364,364,0.03321432891352542,,,nan,,,,,,,
adam,365,365,0.03316684060376834,,,nan,,,,,,,
adam,366,366,0.03311899065747706,,,nan,,,,,,,
adam,367,367,0.03307077997175986,,,nan,,,,,,,
adam,368,368,0.03302220966272112,,,nan,,,,,,,
adam,369,369,0.03297328107360151,,,nan,,,,,,,
adam,370,370,0.032923995782905294,,,nan,,,,,,,
adam,371,371,0.032874355612486056,,,nan,,,,,,,
adam,372,372,0.032824362635566845,,,nan,,,,,,,
adam,373,373,0.03277401918467417,,,nan,,,,,,,
adam,374,374,0.032723327859464656,,,nan,,,,,,,
adam,375,375,0.03267229153441906,,,nan,,,,,,,
adam,376,376,0.03262091336637264,,,nan,,,,,,,
adam,377,377,0.03256919680184593,,,nan,,,,,,,
adam,378,378,0.03251714558413827,,,nan,,,,,,,
adam,379,379,0.03246476376014813,,,nan,,,,,,,
adam,380,380,0.032412055686887535,,,nan,,,,,,,
adam,381,381,0.032359026037660034,,,nan,,,,,,,
adam,382,382,0.032305679807871725,,,nan,,,,,,,
adam,383,383,0.03225202232044182,,,nan,,,,,,,
adam,384,384,0.03219805923077517,,,nan,,,,,,,
adam,385,385,0.03214379653125636,,,nan,,,,,,,
adam,386,386,0.03208924055522411,,,nan,,,,,,,
adam,387,387,0.03203439798038658,,,nan,,,,,,,
adam,388,388,0.031979275831641216,,,nan,,,,,,,
adam,389,389,0.0319238814832648,,,nan,,,,,,,
adam,390,390,0.031868222660439906,,,nan,,,,,,,
adam,391,391,0.031812307440083,,,nan,,,,,,,
adam,392,392,0.03175614425093695,,,nan,,,,,,,
adam,393,393,0.03169974187289072,,,nan,,,,,,,
adam,394,394,0.03164310943548937,,,nan,,,,,,,
adam,395,395,0.03158625641560107,,,nan,,,,,,,
adam,396,396,0.03152919263421122,,,nan,,,,,,,
adam,397,397,0.03147192825231704,,,nan,,,,,,,
adam,398,398,0.03141447376589834,,,nan,,,,,,,
adam,399,399,0.0313568399999412,,,nan,,,,,,,
adam,400,400,0.03129903810149209,,,0.03941478337565365,,,,,,,
adam,401,401,0.031241079531722765,,,nan,,,,,,,
adam,402,402,0.031182976056989276,,,nan,,,,,,,
adam,403,403,0.031124739738873967,,,nan,,,,,,,
adam,404,404,0.031066382923204874,,,nan,,,,,,,
adam,405,405,0.03100791822805213,,,nan,,,,,,,
adam,406,406,0.030949358530705413,,,nan,,,,,,,
adam,407,407,0.03089071695364068,,,nan,,,,,,,
adam,408,408,0.03083200684948845,,,nan,,,,,,,
adam,409,409,0.030773241785021197,,,nan,,,,,,,
adam,410,410,0.030714435524183504,,,nan,,,,,,,
adam,411,411,0.030655602010195918,,,nan,,,,,,,
adam,412,412,0.03059675534677052,,,nan,,,,,,,
adam,413,413,0.030537909778482877,,,nan,,,,,,,
adam,414,414,0.03047907967035114,,,nan,,,,,,,
adam,415,415,0.030420279486678678,,,nan,,,,,,,
adam,416,416,0.03036152376922214,,,nan,,,,,,,
adam,417,417,0.030302827114752944,,,nan,,,,,,,
adam,418,418,0.03024420415208685,,,nan,,,,,,,
adam,419,419,0.030185669518662517,,,nan,,,,,,,
adam,420,420,0.030127237836756117,,,nan,,,,,,,
adam,421,421,0.030068923689424196,,,nan,,,,,,,
adam,422,422,0.03001074159627095,,,nan,,,,,,,
adam,423,423,0.029952705989139742,,,nan,,,,,,,
adam,424,424,0.029894831187831334,,,nan,,,,,,,
adam,425,425,0.029837131375954486,,,nan,,,,,,,
adam,426,426,0.029779620577016302,,,nan,,,,,,,
adam,427,427,0.029722312630861922,,,nan,,,,,,,
adam,428,428,0.029665221170573165,,,nan,,,,,,,
adam,429,429,0.029608359599935213,,,nan,,,,,,,
adam,430,430,0.029551741071578458,,,nan,,,,,,,
adam,431,431,0.02949537846589975,,,nan,,,,,,,
adam,432,432,0.02943928437086358,,,nan,,,,,,,
adam,433,433,0.029383471062779495,,,nan,,,,,,,
adam,434,434,0.029327950488147035,,,nan,,,,,,,
adam,435,435,0.029272734246653352,,,nan,,,,,,,
adam,436,436,0.029217833575401815,,,nan,,,,,,,
adam,437,437,0.029163259334441645,,,nan,,,,,,,
adam,438,438,0.029109021993659924,,,nan,,,,,,,
adam,439,439,0.02905513162108766,,,nan,,,,,,,
adam,440,440,0.02900159787266189,,,nan,,,,,,,
adam,441,441,0.028948429983475674,,,nan,,,,,,,
adam,442,442,0.028895636760537177,,,nan,,,,,,,
adam,443,443,0.028843226577048752,,,nan,,,,,,,
adam,444,444,0.028791207368205576,,,nan,,,,,,,
adam,445,445,0.02873958662850263,,,nan,,,,,,,
adam,446,446,0.02868837141052775,,,nan,,,,,,,
adam,447,447,0.02863756832520805,,,nan,,,,,,,
adam,448,448,0.028587183543467037,,,nan,,,,,,,
adam,449,449,0.028537222799240217,,,nan,,,,,,,
adam,450,450,0.02848769139378849,,,nan,,,,,,,
adam,451,451,0.02843859420124017,,,nan,,,,,,,
adam,452,452,0.028389935675285513,,,nan,,,,,,,
adam,453,453,0.028341719856940707,,,nan,,,,,,,
adam,454,454,0.028293950383293243,,,nan,,,,,,,
adam,455,455,0.02824663049713573,,,nan,,,,,,,
adam,456,456,0.02819976305739221,,,nan,,,,,,,
adam,457,457,0.028153350550238796,,,nan,,,,,,,
adam,458,458,0.02810739510081907,,,nan,,,,,,,
adam,459,459,0.028061898485454883,,,nan,,,,,,,
adam,460,460,0.028016862144253633,,,nan,,,,,,,
adam,461,461,0.027972287194015136,,,nan,,,,,,,
adam,462,462,0.02792817444134394,,,nan,,,,,,,
adam,463,463,0.027884524395876364,,,nan,,,,,,,
adam,464,464,0.02784133728353634,,,nan,,,,,,,
adam,465,465,0.02779861305973896,,,nan,,,,,,,
adam,466,466,0.0277563514224664,,,nan,,,,,,,
adam,467,467,0.02771455182514726,,,nan,,,,,,,
adam,468,468,0.02767321348927638,,,nan,,,,,,,
adam,469,469,0.027632335416719632,,,nan,,,,,,,
adam,470,470,0.027591916401654624,,,nan,,,,,,,
adam,471,471,0.027551955042105697,,,nan,,,,,,,
adam,472,472,0.027512449751038667,,,nan,,,,,,,
adam,473,473,0.027473398766987574,,,nan,,,,,,,
adam,474,474,0.027434800164192683,,,nan,,,,,,,
adam,475,475,0.027396651862235246,,,nan,,,,,,,
adam,476,476,0.027358951635160902,,,nan,,,,,,,
adam,477,477,0.02732169712008914,,,nan,,,,,,,
adam,478,478,0.02728488582531174,,,nan,,,,,,,
adam,479,479,0.027248515137887997,,,nan,,,,,,,
adam,480,480,0.0272125823307487,,,nan,,,,,,,
adam,481,481,0.027177084569324945,,,nan,,,,,,,
adam,482,482,0.027142018917720948,,,nan,,,,,,,
adam,483,483,0.02710738234445283,,,nan,,,,,,,
adam,484,484,0.027073171727777644,,,nan,,,,,,,
adam,485,485,0.02703938386063858,,,nan,,,,,,,
adam,486,486,0.02700601545525361,,,nan,,,,,,,
adam,487,487,0.0269730631473755,,,nan,,,,,,,
adam,488,488,0.0269405235002518,,,nan,,,,,,,
